review_order,transaction_id,selection_route,selection_reason,random_inclusion_probability,random_sampling_weight,transaction_date,vendor_id,debit_amount,audit_risk_score,risk_level,rule_keys,risk_reason_text,review_outcome,evidence_reference,reviewer_notes
58,TXN00013333,risk_priority,Risk score 68.96/100,,,2024-09-18,V00200,1250000,68.96,High,large_round_amount; unusual_vendor,"Unusual vendor (Kaiyuan Technology Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.803, rank 74 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
59,TXN90000018,risk_priority,Risk score 68.93/100,,,2024-06-17,V00050,1014576.45,68.93,High,duplicate_payment,"Duplicate payment: invoice INV-2024-25127 paid more than once to Sunrise Services Holdings; Amount CNY 1,014,576.45 is above the 97.8th percentile of the ledger",,,
60,TXN00007048,risk_priority,Risk score 68.87/100,,,2024-05-21,V00040,2000000,68.87,High,large_round_amount; unusual_vendor,"Unusual vendor (Nordic Consulting Group): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.834, rank 51 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
61,TXN00028197,risk_priority,Risk score 68.87/100,,,2025-02-10,V00081,1250000,68.87,High,large_round_amount; unusual_vendor,"Unusual vendor (Ruixin Services (Shenzhen) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.734, rank 215 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
62,TXN00015946,risk_priority,Risk score 68.73/100,,,2025-10-28,V00298,1250000,68.73,High,large_round_amount; unusual_vendor,"Unusual vendor (Longhe Systems (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.778, rank 112 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
63,TXN00003281,risk_priority,Risk score 68.71/100,,,2024-06-13,V00050,1014576.45,68.71,High,duplicate_payment,"Duplicate payment: invoice INV-2024-25127 paid more than once to Sunrise Services Holdings; Amount CNY 1,014,576.45 is above the 97.8th percentile of the ledger",,,
64,TXN00021024,risk_priority,Risk score 68.61/100,,,2025-07-02,V00298,1250000,68.61,High,large_round_amount; unusual_vendor,"Unusual vendor (Longhe Systems (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.773, rank 122 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
65,TXN00019990,risk_priority,Risk score 68.56/100,,,2025-08-01,V00254,1250000,68.56,High,large_round_amount; unusual_vendor,"Unusual vendor (Ruixin Facilities (Shenzhen) Co., Ltd.): vendor registered less than 90 days before the payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.832, rank 53 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
66,TXN00003709,risk_priority,Risk score 68.52/100,,,2025-12-10,V00231,1250000,68.52,High,large_round_amount; unusual_vendor,"Unusual vendor (Apex Packaging (Shenzhen) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.754, rank 166 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
67,TXN00008820,risk_priority,Risk score 68.52/100,,,2024-03-21,V00085,1178000,68.52,High,large_round_amount; unusual_vendor,"Unusual vendor (Qianhai Supply Chain (Guangzhou) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1178000.0 sits in the top 1.75% of all voucher values and is an exact multiple of 1,000; Isolation Forest anomaly (score 0.755, rank 163 of 30,128); Vendor risk 53/100 for Qianhai Supply Chain (Guangzhou) Co., Ltd.; Amount CNY 1,178,000.00 is above the 98.3th percentile of the ledger",,,
68,TXN00025636,risk_priority,Risk score 68.51/100,,,2025-04-23,V00002,1250000,68.51,High,large_round_amount; unusual_vendor,"Unusual vendor (Tianhe Consulting Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.773, rank 121 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
69,TXN00006297,risk_priority,Risk score 68.50/100,,,2024-04-02,V00302,1250000,68.5,High,large_round_amount; unusual_vendor,"Unusual vendor (Innovate Industrial (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.743, rank 198 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
70,TXN00011262,risk_priority,Risk score 68.50/100,,,2024-10-21,V00028,1250000,68.5,High,large_round_amount; unusual_vendor,"Unusual vendor (Concord Logistics (Beijing) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.821, rank 61 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
71,TXN00024046,risk_priority,Risk score 68.45/100,,,2025-08-01,V00063,1000000,68.45,High,large_round_amount; unusual_vendor,"Unusual vendor (Innovate Supply Chain (Guangzhou) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1000000.0 sits in the top 2.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.841, rank 42 of 30,128); Amount CNY 1,000,000.00 is above the 97.5th percentile of the ledger",,,
72,TXN00025389,risk_priority,Risk score 68.39/100,,,2024-09-18,V00091,1250000,68.39,High,large_round_amount; unusual_vendor,"Unusual vendor (Zhongtai Industrial Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.717, rank 274 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
73,TXN00000400,risk_priority,Risk score 68.36/100,,,2024-01-15,V00315,1250000,68.36,High,large_round_amount; unusual_vendor,"Unusual vendor (Ruixin Materials Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.841, rank 43 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
74,TXN00014891,risk_priority,Risk score 68.23/100,,,2024-04-01,V00026,1250000,68.23,High,large_round_amount; unusual_vendor,"Unusual vendor (Concord Logistics (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.786, rank 102 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
75,TXN00028678,risk_priority,Risk score 68.18/100,,,2024-05-20,V00250,1000000,68.18,High,large_round_amount; unusual_vendor,"Unusual vendor (Zhongtai Trading Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1000000.0 sits in the top 2.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.847, rank 36 of 30,128); Vendor risk 47/100 for Zhongtai Trading Co., Ltd.; Amount CNY 1,000,000.00 is above the 97.5th percentile of the ledger",,,
76,TXN00007675,risk_priority,Risk score 68.10/100,,,2024-12-20,V00319,2000000,68.1,High,large_round_amount; unusual_vendor,"Unusual vendor (Sunrise Technology (Beijing) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.782, rank 109 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
77,TXN00026672,risk_priority,Risk score 68.00/100,,,2024-10-08,V00312,1250000,68,High,large_round_amount; unusual_vendor,"Unusual vendor (Longhe Trading (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.790, rank 92 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
78,TXN00021567,risk_priority,Risk score 67.88/100,,,2025-11-17,V00240,1250000,67.88,High,large_round_amount; unusual_vendor,"Unusual vendor (Tianhe Industrial (Guangzhou) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.735, rank 213 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
79,TXN90000046,risk_priority,Risk score 67.77/100,,,2025-07-11,V00199,734305.34,67.77,High,duplicate_payment,"Duplicate payment: invoice INV-2025-70114 paid more than once to Silverline Industrial Co., Ltd.; Vendor risk 62/100 for Silverline Industrial Co., Ltd.; Amount CNY 734,305.34 is above the 95.4th percentile of the ledger",,,
80,TXN00028687,risk_priority,Risk score 67.71/100,,,2025-06-23,V00097,1000000,67.71,High,large_round_amount; unusual_vendor,"Unusual vendor (Everest Logistics Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1000000.0 sits in the top 2.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.788, rank 96 of 30,128); Vendor risk 53/100 for Everest Logistics Co., Ltd.; Amount CNY 1,000,000.00 is above the 97.5th percentile of the ledger",,,
81,TXN00027273,risk_priority,Risk score 67.66/100,,,2024-10-17,V00294,2000000,67.66,High,large_round_amount; unusual_vendor,"Unusual vendor (Northwind Technology Holdings): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.876, rank 22 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
82,TXN00028116,risk_priority,Risk score 67.64/100,,,2024-09-02,V00349,1250000,67.64,High,large_round_amount; unusual_vendor,"Unusual vendor (Delta Systems Group): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.712, rank 296 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
83,TXN00003239,risk_priority,Risk score 67.61/100,,,2025-03-17,V00123,1250000,67.61,High,large_round_amount; unusual_vendor,"Unusual vendor (Fortune Consulting Group): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.764, rank 143 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
84,TXN00019943,risk_priority,Risk score 67.61/100,,,2024-12-16,V00245,1250000,67.61,High,large_round_amount; unusual_vendor,"Unusual vendor (Vertex Consulting (Shenzhen) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.788, rank 97 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
85,TXN00000081,risk_priority,Risk score 67.45/100,,,2025-10-14,V00185,1250000,67.45,High,large_round_amount; unusual_vendor,"Unusual vendor (Northwind Facilities Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.801, rank 79 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
86,TXN00012644,risk_priority,Risk score 67.41/100,,,2024-03-28,V00086,1250000,67.41,High,large_round_amount; unusual_vendor,"Unusual vendor (Delta Automation (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.743, rank 196 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
87,TXN00021471,risk_priority,Risk score 67.36/100,,,2024-06-04,V00123,1250000,67.36,High,large_round_amount; unusual_vendor,"Unusual vendor (Fortune Consulting Group): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.753, rank 168 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
88,TXN00026568,risk_priority,Risk score 67.20/100,,,2024-11-22,V00169,1250000,67.2,High,large_round_amount; unusual_vendor,"Unusual vendor (Hengtai Media (Guangzhou) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.693, rank 354 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
89,TXN00024641,risk_priority,Risk score 67.17/100,,,2024-06-17,V00328,1250000,67.17,High,large_round_amount; unusual_vendor,"Unusual vendor (Union Technology Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.784, rank 104 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
90,TXN00010125,risk_priority,Risk score 67.15/100,,,2025-07-07,V00199,734305.34,67.15,High,duplicate_payment,"Duplicate payment: invoice INV-2025-70114 paid more than once to Silverline Industrial Co., Ltd.; Vendor risk 62/100 for Silverline Industrial Co., Ltd.; Amount CNY 734,305.34 is above the 95.4th percentile of the ledger",,,
91,TXN80004100,risk_priority,Risk score 67.15/100,,,2025-12-15,V00175,49733.57,67.15,High,split_transaction,"Split payment: 3 payments to the same vendor on the same day, each just below the CNY 50,000 approval threshold (combined CNY 147780.32); Isolation Forest anomaly (score 0.841, rank 44 of 30,128); Vendor risk 61/100 for Wanhe Packaging Holdings; Amount sits just below the CNY 50,000 approval threshold",,,
92,TXN00009194,risk_priority,Risk score 67.14/100,,,2024-01-04,V00322,1250000,67.14,High,large_round_amount; unusual_vendor,"Unusual vendor (Longhe Logistics (Beijing) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.744, rank 190 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
93,TXN00018285,risk_priority,Risk score 67.13/100,,,2025-06-05,V00307,1250000,67.13,High,large_round_amount; unusual_vendor,"Unusual vendor (Fortune Electronics Holdings): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.769, rank 134 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
94,TXN00009570,risk_priority,Risk score 67.07/100,,,2025-01-06,V00010,2000000,67.07,High,large_round_amount; unusual_vendor,"Unusual vendor (Xinrun Consulting (Beijing) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.835, rank 49 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
95,TXN00015768,risk_priority,Risk score 67.04/100,,,2024-08-06,V00204,2000000,67.04,High,large_round_amount; unusual_vendor,"Unusual vendor (Mingda Technology Group): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.809, rank 67 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
96,TXN00028465,risk_priority,Risk score 67.04/100,,,2025-03-24,V00242,1250000,67.04,High,large_round_amount; unusual_vendor,"Unusual vendor (Nordic Facilities (Guangzhou) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.746, rank 185 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
97,TXN00006935,risk_priority,Risk score 66.95/100,,,2024-07-16,V00337,1250000,66.95,High,large_round_amount; unusual_vendor,"Unusual vendor (Kaiyuan Engineering Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.721, rank 259 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
98,TXN00015981,risk_priority,Risk score 66.92/100,,,2025-11-07,V00413,123271.42,66.92,High,duplicate_payment,"Duplicate payment: invoice INV-2025-92744 paid more than once to Pacific Media (Shenzhen) Co., Ltd.; Vendor risk 58/100 for Pacific Media (Shenzhen) Co., Ltd.; Amount CNY 123,271.42 is above the 72.6th percentile of the ledger",,,
99,TXN00006478,risk_priority,Risk score 66.88/100,,,2025-12-01,V00008,2000000,66.88,High,large_round_amount; unusual_vendor,"Unusual vendor (Longhe Logistics Holdings): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.774, rank 118 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
100,TXN00022998,risk_priority,Risk score 66.87/100,,,2025-09-04,V00158,1250000,66.87,High,large_round_amount; unusual_vendor,"Unusual vendor (Xinrun Engineering (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.698, rank 339 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
101,TXN00019631,risk_priority,Risk score 66.86/100,,,2024-12-23,V00049,1250000,66.86,High,large_round_amount; unusual_vendor,"Unusual vendor (Orient Consulting (Shenzhen) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.733, rank 224 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
102,TXN00003921,risk_priority,Risk score 66.74/100,,,2025-10-12,V00004,604174.85,66.74,High,duplicate_payment; weekend_posting,"Duplicate payment: invoice INV-2025-41646 paid more than once to Hanwei Electronics (Beijing) Co., Ltd.; Posted on Sunday - 2025-10-12 is outside the normal working week; Isolation Forest anomaly (score 0.638, rank 602 of 30,128); Amount CNY 604,174.85 is above the 93.8th percentile of the ledger",,,
103,TXN00008969,risk_priority,Risk score 66.73/100,,,2025-08-12,V00311,1250000,66.73,High,large_round_amount; unusual_vendor,"Unusual vendor (Yongsheng Systems (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.777, rank 117 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
104,TXN00011723,risk_priority,Risk score 66.69/100,,,2024-10-14,V00077,1250000,66.69,High,large_round_amount; unusual_vendor,"Unusual vendor (Orient Packaging Group): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.781, rank 110 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
105,TXN00018558,risk_priority,Risk score 66.69/100,,,2024-04-22,V00333,1250000,66.69,High,large_round_amount; unusual_vendor,"Unusual vendor (Delta Supply Chain Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.708, rank 311 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
106,TXN00029656,risk_priority,Risk score 66.67/100,,,2025-04-05,V00226,1000000,66.67,High,large_round_amount; weekend_posting,"Large round amount: CNY 1000000.0 sits in the top 2.5% of all voucher values and is an exact multiple of 10,000; Posted on Saturday - 2025-04-05 is outside the normal working week; Isolation Forest anomaly (score 0.791, rank 91 of 30,128); Vendor risk 47/100 for Zhongtai Industrial (Beijing) Co., Ltd.; Amount CNY 1,000,000.00 is above the 97.5th percentile of the ledger",,,
107,TXN00009333,risk_priority,Risk score 66.61/100,,,2024-12-02,V00200,1250000,66.61,High,large_round_amount; unusual_vendor,"Unusual vendor (Kaiyuan Technology Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.709, rank 305 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
108,TXN00002448,risk_priority,Risk score 66.53/100,,,2025-06-05,V00202,1250000,66.53,High,large_round_amount; unusual_vendor,"Unusual vendor (Tianhe Materials (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.764, rank 142 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
109,TXN00024176,risk_priority,Risk score 66.52/100,,,2025-09-30,V00135,2000000,66.52,High,large_round_amount; unusual_vendor,"Unusual vendor (Fortune Industrial (Shenzhen) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.783, rank 106 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
110,TXN00004245,risk_priority,Risk score 66.40/100,,,2024-12-04,V00052,1000000,66.4,High,large_round_amount; unusual_vendor,"Unusual vendor (Apex Systems (Beijing) Co., Ltd.): vendor registered less than 90 days before the payment; Large round amount: CNY 1000000.0 sits in the top 2.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.835, rank 50 of 30,128); Amount CNY 1,000,000.00 is above the 97.5th percentile of the ledger",,,
111,TXN00008716,risk_priority,Risk score 66.30/100,,,2024-12-12,V00125,2000000,66.3,High,large_round_amount; unusual_vendor,"Unusual vendor (Yongsheng Electronics (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 2000000.0 sits in the top 0.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.833, rank 52 of 30,128); Amount CNY 2,000,000.00 is above the 99.5th percentile of the ledger",,,
112,TXN00001068,risk_priority,Risk score 66.22/100,,,2024-12-25,V00056,1000000,66.22,High,large_round_amount; unusual_vendor,"Unusual vendor (Wanhe Systems (Guangzhou) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1000000.0 sits in the top 2.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.731, rank 231 of 30,128); Vendor risk 52/100 for Wanhe Systems (Guangzhou) Co., Ltd.; Amount CNY 1,000,000.00 is above the 97.5th percentile of the ledger",,,
113,TXN80004101,risk_priority,Risk score 66.17/100,,,2025-12-15,V00175,49441.69,66.17,High,split_transaction,"Split payment: 3 payments to the same vendor on the same day, each just below the CNY 50,000 approval threshold (combined CNY 147780.32); Isolation Forest anomaly (score 0.802, rank 75 of 30,128); Vendor risk 61/100 for Wanhe Packaging Holdings; Amount sits just below the CNY 50,000 approval threshold",,,
114,TXN00003149,risk_priority,Risk score 66.16/100,,,2025-03-10,V00337,1250000,66.16,High,large_round_amount; unusual_vendor,"Unusual vendor (Kaiyuan Engineering Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.689, rank 369 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
115,TXN00027420,risk_priority,Risk score 66.15/100,,,2025-01-07,V00250,1000000,66.15,High,large_round_amount; unusual_vendor,"Unusual vendor (Zhongtai Trading Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1000000.0 sits in the top 2.5% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.760, rank 154 of 30,128); Vendor risk 47/100 for Zhongtai Trading Co., Ltd.; Amount CNY 1,000,000.00 is above the 97.5th percentile of the ledger",,,
116,TXN80004102,risk_priority,Risk score 66.10/100,,,2025-12-15,V00175,48605.06,66.1,High,split_transaction,"Split payment: 3 payments to the same vendor on the same day, each just below the CNY 50,000 approval threshold (combined CNY 147780.32); Isolation Forest anomaly (score 0.802, rank 77 of 30,128); Vendor risk 61/100 for Wanhe Packaging Holdings; Amount sits just below the CNY 50,000 approval threshold",,,
117,TXN00027499,risk_priority,Risk score 66.07/100,,,2024-12-03,V00058,1250000,66.07,High,large_round_amount; unusual_vendor,"Unusual vendor (Union Electronics Group): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.797, rank 83 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
118,TXN00000855,risk_priority,Risk score 66.03/100,,,2024-05-29,V00285,1250000,66.03,High,large_round_amount; unusual_vendor,"Unusual vendor (Hengtai Systems Group): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.761, rank 149 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
119,TXN00020762,risk_priority,Risk score 66.03/100,,,2025-08-25,V00335,1250000,66.03,High,large_round_amount; unusual_vendor,"Unusual vendor (Pacific Industrial (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.784, rank 105 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
120,TXN00004882,risk_priority,Risk score 65.99/100,,,2024-07-02,V00192,1250000,65.99,High,large_round_amount; unusual_vendor,"Unusual vendor (Zhongtai Facilities (Shanghai) Co., Ltd.): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.698, rank 342 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
121,TXN00008302,risk_priority,Risk score 65.87/100,,,2025-08-14,V00356,1250000,65.87,High,large_round_amount; unusual_vendor,"Unusual vendor (Concord Trading Group): amount is more than 8x this vendor's average payment; Large round amount: CNY 1250000.0 sits in the top 1.38% of all voucher values and is an exact multiple of 10,000; Isolation Forest anomaly (score 0.720, rank 263 of 30,128); Amount CNY 1,250,000.00 is above the 98.6th percentile of the ledger",,,
